iter,rank,ant_move_s,phen_sync_s,evaporation_s,total_s
283,1,0.343786,1.38129,0.12115,1.84622
284,1,0.344909,1.38576,0.121605,1.85227
285,1,0.345921,1.3902,0.122019,1.85814
286,1,0.347012,1.39508,0.122346,1.86443
287,1,0.348141,1.39963,0.122892,1.87066
288,1,0.349242,1.4041,0.123285,1.87662
289,1,0.350495,1.40905,0.123478,1.88302
290,1,0.35167,1.41371,0.12401,1.88939
291,1,0.35288,1.41813,0.124391,1.89541
292,1,0.35397,1.42303,0.124728,1.90173
293,1,0.355057,1.42778,0.12496,1.9078
294,1,0.356234,1.43282,0.125303,1.91435
295,1,0.357395,1.43747,0.125676,1.92054
296,1,0.358229,1.44261,0.125935,1.92677
297,1,0.359128,1.4477,0.126217,1.93304
298,1,0.360141,1.45232,0.126531,1.93899
299,1,0.361408,1.45686,0.12693,1.94519
300,1,0.362412,1.46173,0.127298,1.95144
301,1,0.363694,1.46624,0.127632,1.95756
302,1,0.364804,1.47075,0.128002,1.96356
303,1,0.366005,1.47529,0.128586,1.96988
304,1,0.367095,1.47975,0.128926,1.97577
305,1,0.36824,1.48435,0.129363,1.98196
306,1,0.369233,1.48977,0.129804,1.98881
307,1,0.370472,1.49453,0.130118,1.99512
308,1,0.373698,1.49802,0.13035,2.00207
309,1,0.374748,1.50345,0.130819,2.00902
310,1,0.375982,1.50842,0.131282,2.01568
311,1,0.377058,1.51285,0.13167,2.02158
312,1,0.378279,1.51739,0.132109,2.02778
313,1,0.379305,1.52199,0.132445,2.03374
314,1,0.380497,1.52696,0.13292,2.04038
315,1,0.381557,1.53154,0.133281,2.04638
316,1,0.382693,1.53623,0.13372,2.05264
317,1,0.383852,1.54084,0.134189,2.05889
318,1,0.385105,1.54538,0.134625,2.06511
319,1,0.386201,1.55007,0.134907,2.07118
320,1,0.387119,1.55458,0.135456,2.07716
321,1,0.388288,1.55908,0.135783,2.08315
322,1,0.389601,1.56363,0.136119,2.08935
323,1,0.39075,1.56815,0.136596,2.0955
324,1,0.391954,1.57269,0.137059,2.1017
325,1,0.393003,1.57734,0.137391,2.10773
326,1,0.394013,1.58235,0.137629,2.11399
327,1,0.395073,1.58699,0.138033,2.12009
328,1,0.396185,1.59158,0.13831,2.12608
329,1,0.397182,1.59675,0.13873,2.13266
330,1,0.398409,1.60176,0.139218,2.13939
331,1,0.399688,1.60631,0.139605,2.1456
332,1,0.400761,1.61095,0.139965,2.15168
333,1,0.401967,1.61535,0.140369,2.15769
334,1,0.403102,1.61993,0.140707,2.16374
335,1,0.404179,1.62525,0.141121,2.17054
336,1,0.40517,1.63003,0.14146,2.17666
337,1,0.406339,1.63466,0.141742,2.18274
338,1,0.407223,1.63987,0.141938,2.18903
339,1,0.408816,1.64462,0.142307,2.19574
340,1,0.410094,1.64887,0.14275,2.20171
341,1,0.411274,1.65341,0.143128,2.20781
342,1,0.41244,1.658,0.143456,2.21389
343,1,0.413656,1.66267,0.143869,2.2202
344,1,0.414818,1.66771,0.144171,2.2267
345,1,0.416021,1.67225,0.144575,2.23284
346,1,0.417233,1.6772,0.144857,2.23929
347,1,0.41838,1.68181,0.145231,2.24542
348,1,0.419339,1.68646,0.145551,2.25135
349,1,0.420396,1.69089,0.146033,2.25731
350,1,0.421542,1.69547,0.146322,2.26333
351,1,0.422548,1.70001,0.146654,2.26921
352,1,0.423521,1.70474,0.147095,2.27536
353,1,0.424672,1.70938,0.147471,2.28153
354,1,0.425624,1.71433,0.148354,2.28831
355,1,0.427008,1.71853,0.148704,2.29424
356,1,0.428304,1.72353,0.148953,2.30078
357,1,0.429587,1.73082,0.14934,2.30975
358,1,0.43082,1.73524,0.149717,2.31578
359,1,0.431986,1.74006,0.150069,2.32212
360,1,0.43318,1.745,0.150609,2.32879
361,1,0.434401,1.74995,0.15091,2.33527
362,1,0.435607,1.75454,0.151365,2.34152
363,1,0.436858,1.75919,0.151742,2.34779
364,1,0.437845,1.764,0.15203,2.35388
365,1,0.439179,1.76906,0.152429,2.36067
366,1,0.440151,1.77384,0.152799,2.36679
367,1,0.441329,1.77904,0.154019,2.37439
368,1,0.442489,1.7837,0.154388,2.38057
369,1,0.443804,1.78823,0.154839,2.38687
370,1,0.445144,1.79287,0.155119,2.39313
371,1,0.44603,1.79788,0.155405,2.39932
372,1,0.447085,1.80298,0.155835,2.4059
373,1,0.448478,1.80752,0.15614,2.41214
374,1,0.449465,1.81224,0.156462,2.41817
375,1,0.450618,1.81734,0.156768,2.42473
376,1,0.451592,1.82215,0.157044,2.43079
377,1,0.452636,1.82677,0.157366,2.43678
378,1,0.453885,1.83142,0.157839,2.44314
379,1,0.455126,1.83642,0.158276,2.44982
380,1,0.456355,1.84095,0.158829,2.45613
381,1,0.45756,1.8453,0.159177,2.46204
382,1,0.458278,1.85031,0.15954,2.46813
383,1,0.45931,1.85481,0.159934,2.47406
384,1,0.46039,1.86019,0.160446,2.48102
385,1,0.461702,1.86459,0.160937,2.48723
