iter,ant_move_s,phen_sync_s,evaporation_s,total_s
210,0.2605975,1.030125,0.091549425,1.382275
211,0.2620325,1.0352025,0.0920368,1.3892725
212,0.26318325,1.039675,0.09249065000000001,1.39535
213,0.26446749999999997,1.0443875,0.09296650000000001,1.4018225
214,0.26579075,1.049015,0.093331025,1.4081350000000001
215,0.26696149999999996,1.0535525,0.093719125,1.414235
216,0.2681505,1.05808,0.094124525,1.4203575
217,0.2692035,1.06275,0.0944947,1.426445
218,0.27025325,1.0673825,0.09483885,1.4324724999999998
219,0.27141375,1.07234,0.0952463,1.439
220,0.27264475,1.0769525,0.095635325,1.44523
221,0.27381575,1.0814775,0.096738925,1.45203
222,0.27501225,1.086185,0.097228775,1.458425
223,0.27622375,1.09077,0.09755195,1.4645425
224,0.27742425,1.09588,0.0979182,1.4712225
225,0.2786765,1.100775,0.09830035,1.47775
226,0.27984325,1.10545,0.098705,1.484
227,0.28099275,1.11002,0.09912447499999999,1.4901375
228,0.28217175,1.1146850000000001,0.099534625,1.4963899999999999
229,0.28328975,1.1193549999999999,0.09998565,1.50263
230,0.28442925,1.1243699999999999,0.1004118,1.5092124999999998
231,0.28551125,1.128755,0.1008536,1.51512
232,0.2866705,1.1333225,0.10127477500000001,1.5212675
233,0.28780875,1.1379775,0.1015984,1.527385
234,0.28883875,1.1426025,0.10201925,1.5334575
235,0.28995825,1.1470975,0.10240275,1.5394575
236,0.29108025,1.1516825,0.1027385,1.5454975
237,0.2921475,1.1563275,0.103062,1.5515375
238,0.293314,1.161005,0.10356225,1.55788
239,0.2945815,1.165605,0.1040755,1.56426
240,0.29564975000000004,1.1704824999999999,0.104447,1.57058
241,0.2968705,1.1750075,0.10494775,1.576825
242,0.298325,1.18092,0.1063425,1.5855875
243,0.3000705,1.186915,0.10692025,1.593905
244,0.30125325000000003,1.191675,0.10734874999999999,1.6002775
245,0.30244375,1.1962774999999999,0.10765175,1.60637
246,0.30367025,1.200835,0.10811325,1.6126175
